unique_id,ds,y
Dengue,2023-11-12,250.0
Dengue,2023-11-19,316.0
Dengue,2023-11-26,366.0
Dengue,2023-12-03,397.0
Dengue,2023-12-10,418.0
Dengue,2023-12-17,442.0
Dengue,2023-12-24,466.0
Dengue,2023-12-31,537.0
Dengue,2024-01-07,213.0
Dengue,2024-01-14,42.0
Dengue,2024-01-21,13.0
Dengue,2024-01-28,3.0
Dengue,2024-02-04,6.0
Dengue,2024-02-11,4.0
Dengue,2024-02-18,7.0
Dengue,2024-02-25,6.0
Dengue,2024-03-03,0.0
Dengue,2024-03-10,5.0
Dengue,2024-03-17,0.0
Dengue,2024-03-24,0.0
Dengue,2024-03-31,1.0
