anio,semana_epi,casos,temp_media_c_lag1,temp_media_c_lag2,temp_media_c_lag3,temp_media_c_lag4,precipitacion_mm_lag1,precipitacion_mm_lag2,precipitacion_mm_lag3,precipitacion_mm_lag4,humedad_media_pct_lag1,humedad_media_pct_lag2,humedad_media_pct_lag3,humedad_media_pct_lag4,casos_lag1,casos_lag2,casos_lag4
2012,13,21,20.47142857,21.65714286,21.6,20.75714286,167.9,39.1,8.4,14,87,80.42857143,80,82.71428571,30,35,30
2012,14,19,21.61428571,20.47142857,21.65714286,21.6,38.5,167.9,39.1,8.4,82.71428571,87,80.42857143,80,21,30,37
2012,15,14,20.62857143,21.61428571,20.47142857,21.65714286,148.5,38.5,167.9,39.1,85.57142857,82.71428571,87,80.42857143,19,21,35
2012,16,23,19.84285714,20.62857143,21.61428571,20.47142857,72.1,148.5,38.5,167.9,85.28571429,85.57142857,82.71428571,87,14,19,30
2012,17,17,20.62857143,19.84285714,20.62857143,21.61428571,89,72.1,148.5,38.5,84,85.28571429,85.57142857,82.71428571,23,14,21
2012,18,11,21.34285714,20.62857143,19.84285714,20.62857143,85.1,89,72.1,148.5,83.57142857,84,85.28571429,85.57142857,17,23,19
2012,19,15,21.3,21.34285714,20.62857143,19.84285714,70.7,85.1,89,72.1,84.14285714,83.57142857,84,85.28571429,11,17,14
2012,20,15,21.08571429,21.3,21.34285714,20.62857143,35.9,70.7,85.1,89,84.14285714,84.14285714,83.57142857,84,15,11,23
2012,21,16,21.01428571,21.08571429,21.3,21.34285714,50.9,35.9,70.7,85.1,84.28571429,84.14285714,84.14285714,83.57142857,15,15,17
2012,22,8,21.11428571,21.01428571,21.08571429,21.3,11.8,50.9,35.9,70.7,83,84.28571429,84.14285714,84.14285714,16,15,11
2012,23,16,21.77142857,21.11428571,21.01428571,21.08571429,3,11.8,50.9,35.9,80.85714286,83,84.28571429,84.14285714,8,16,15
2012,24,18,22.01428571,21.77142857,21.11428571,21.01428571,10.6,3,11.8,50.9,79.71428571,80.85714286,83,84.28571429,16,8,15
2012,25,18,21.35714286,22.01428571,21.77142857,21.11428571,9.2,10.6,3,11.8,81.14285714,79.71428571,80.85714286,83,18,16,16
2012,26,18,20.74285714,21.35714286,22.01428571,21.77142857,24.3,9.2,10.6,3,83,81.14285714,79.71428571,80.85714286,18,18,8
2012,27,21,20.52857143,20.74285714,21.35714286,22.01428571,14.3,24.3,9.2,10.6,81.85714286,83,81.14285714,79.71428571,18,18,16
2012,28,19,20.92857143,20.52857143,20.74285714,21.35714286,10.7,14.3,24.3,9.2,82.28571429,81.85714286,83,81.14285714,21,18,18
2012,29,15,21.12857143,20.92857143,20.52857143,20.74285714,8.4,10.7,14.3,24.3,81.71428571,82.28571429,81.85714286,83,19,21,18
2012,30,21,21.84285714,21.12857143,20.92857143,20.52857143,0.4,8.4,10.7,14.3,78.14285714,81.71428571,82.28571429,81.85714286,15,19,18
2012,31,22,21.64285714,21.84285714,21.12857143,20.92857143,5.3,0.4,8.4,10.7,80.28571429,78.14285714,81.71428571,82.28571429,21,15,21
2012,32,8,21.37142857,21.64285714,21.84285714,21.12857143,26.5,5.3,0.4,8.4,80.28571429,80.28571429,78.14285714,81.71428571,22,21,19
2012,33,14,20.87142857,21.37142857,21.64285714,21.84285714,43.9,26.5,5.3,0.4,83.28571429,80.28571429,80.28571429,78.14285714,8,22,15
2012,34,18,20.87142857,20.87142857,21.37142857,21.64285714,36.8,43.9,26.5,5.3,83.14285714,83.28571429,80.28571429,80.28571429,14,8,21
